sentence	label
Stupid fucking shitty game https://t.co/ye7mjzBLaf	1
Happy birthday to my brother @DavonteJones10 hope you have a good day fam love you ‼&#128170;&#127998; see you later bro	0
Found a Transponder Snail! Execution! Is this the Straw Hats' final moment?! https://t.co/YaPiTNCo3y #TreCru https://t.co/7uXfkBv0gl	0
Would this brainless retard that claims to be my father just hurry up and die?¿?¿??¿???	1
RT @Q19THEBOSS: You're the fucking man @KFUCKINGP https://t.co/3mjP3l52zO	1
RT @WickedBeaute: This is so disgusting. All of those niggas can choke &amp; die. Including your ass for recording &amp; saying nothing. https://t.…	1
https://t.co/a758Jz5EJj … cyrus, babylon has no water source shes branded strike there she forbids to marry 1tim 4:3	0
@omarcanuck At least you try to see some positives has there been a positive word utteredsince we turned it over to… https://t.co/m97M0vOc7t	0
RT @bateson87: Send Barkley off. He's a dirty bastard	1
Gotta love the strange people of the Internet. Someone for know reason whatsoever that I've never even... https://t.co/dK3JuIat34	0
I was going to try this today too! Damn how annoying, guess there's no linking to my blog posts anytime soon &#128589;&#127996; https://t.co/vYeKQe0N9E	0
RT @bbygirI_: When your mom whoops ya ass but you still a bad bihhh &#128539; https://t.co/rsXN2E0hc0	1
"""Love Trumps hate you guys; So let's go pepper spray some lady's eyes..."" This is pure art. Share it.... https://t.co/up2yrdNrGe"	1
"@shumstafa that's fucking disgusting. ""there's no song called 'i kissed a trans man'"" LIKE??? that's not the point????"	1
My committee have the right to personally endorse any candidate of their choice- Prince Ampofo [UG SRC Treasurer] #UGDecides	0
@donthemaggot84 Cute as fuck. But dear God it's still a fucking bear. He could literally end her life on a whim. Jesus	1
#GDR #OTD 1990 – Demo for accessibility and the environment at Bornholmerstr. border crossing in East Berlin https://t.co/kCzo6tc2R0	0
@lwycherley done allsorts me boss! When I was 18 like worked Spoons and Grange. Earned my crust &#128514; &#128514; 12 years ago now. Fucking hellll	1
Suspect Charged for Carrying Pistol Without Permit After Gun Falls Out of His Buttocks https://t.co/dC0x3i2nLA https://t.co/XSIohMRYhJ	0
Every interview candidate is an opportunity for your company to interact with the public. How to Hire Well - Buil... https://t.co/dDBlsebHDY	0
@nationalpost From that we can conclude a request take part in pre sentence report at time of warrant expiry or par… https://t.co/nuZoDRv6eI	0
Solve it in 10 movements. In 30 minutes, I'll tweet the solution ;). RT when found! https://t.co/oYJNxlSB2p	0
@dhruv_rupakar @WWEMarkWCalaway @WWERomanReigns Dude! THIS IS NOT THE UNDERTAKER. FUCK THIS GUY! DONT BE STUPID. THIS GUY IS AN IMPOSTER.	1
